Algorithm,Avg Waiting Time,Avg Turnaround Time,Avg Response Time,CPU Utilization (%),Throughput (proc/unit time),Total Time,Num Processes
FCFS,37.767,40.933,37.767,100.0,0.3158,95,30
SJF,26.767,29.933,26.767,100.0,0.3158,95,30
Round Robin,43.933,47.1,32.5,100.0,0.3158,95,30
Priority,37.633,40.8,37.633,100.0,0.3158,95,30
SRTF,25.667,28.833,24.1,100.0,0.3158,95,30
MLFQ,45.267,48.433,31.867,100.0,0.3158,95,30
