Algorithm,Avg Waiting Time,Avg Turnaround Time,Avg Response Time,CPU Utilization (%),Throughput (proc/unit time),Total Time,Num Processes
FCFS,1227.867,1248.717,1227.867,99.96,0.0479,2503,120
SJF,1011.092,1031.942,1011.092,99.96,0.0479,2503,120
Round Robin,2014.15,2035.0,235.642,100.0,0.0479,2503,120
Priority,1183.433,1204.283,1183.433,99.96,0.0479,2503,120
SRTF,1011.092,1031.942,1011.092,100.0,0.0479,2503,120
MLFQ,1885.525,1906.375,210.842,100.0,0.0479,2503,120
