Algorithm,Avg Waiting Time,Avg Turnaround Time,Avg Response Time,CPU Utilization (%),Throughput (proc/unit time),Total Time,Num Processes
FCFS,592.083,602.75,592.083,100.0,0.0938,1280,120
SJF,344.85,355.517,344.85,100.0,0.0938,1280,120
Round Robin,678.1,688.767,201.458,100.0,0.0938,1280,120
Priority,574.917,585.583,574.917,100.0,0.0938,1280,120
SRTF,343.117,353.783,340.642,100.0,0.0938,1280,120
MLFQ,664.775,675.442,180.058,100.0,0.0938,1280,120
